"N","Details","Results (url)"
1,"Gambia Community Data","https://rpubs.com/atreyagaganumn/oxf23gambia"
1,"Pakistan Community Data","https://rpubs.com/atreyagaganumn/oxf23pakistan"
2,"Tanzania Community Data","https://rpubs.com/atreyagaganumn/oxf23tanzania"
3,"Uganda Community Data","https://rpubs.com/atreyagaganumn/oxf23uganda"
4,"Community Data (4 Countries): Combined report","https://rpubs.com/atreyagaganumn/oxf23combinedreport"
5,"Cross-Country (8 Countries) BCL Data","https://rpubs.com/atreyagaganumn/oxf23bcl"
